
########## harmonic sweep :: nvm_100Mb ##########
   n       R  feas  bind    BW/SA   cap[bit]      N_SA  L_dsn  fits     BW_raw  pdens/Pmax  BW_thermal
 239  422.26     y    SA    0.433   7.44e+09   6.2e+07   9.28     y   3.36e+15    1.16e+03    2.89e+12
 240  422.26     y    SA    0.435   7.47e+09   6.2e+07   9.28     y   3.37e+15    1.17e+03    2.89e+12
 241  422.26     y    SA    0.437    7.5e+09   6.2e+07   9.28     y   3.39e+15    1.17e+03    2.89e+12
 242  422.26     y    SA    0.439   7.53e+09   6.2e+07   9.28     y   3.40e+15    1.18e+03    2.89e+12
 243  422.26     y    SA     0.44   7.57e+09   6.2e+07   9.28     y   3.41e+15    1.18e+03    2.89e+12
 244  422.26     y    SA    0.442    7.6e+09   6.2e+07   9.28     y   3.43e+15    1.19e+03    2.89e+12
 245  422.26     y    SA    0.444   7.63e+09   6.2e+07   9.29     y   3.44e+15    1.19e+03    2.89e+12
 246  422.26     y    SA    0.446   7.66e+09   6.2e+07   9.29     y   3.46e+15    1.20e+03    2.89e+12
 247  422.26     y    SA    0.448   7.69e+09   6.2e+07   9.29     y   3.47e+15    1.20e+03    2.89e+12
 248  422.26     y    SA    0.449   7.72e+09   6.2e+07   9.29     y   3.48e+15    1.21e+03    2.89e+12
 249  422.26     y    SA    0.451   7.75e+09   6.2e+07   9.29     y   3.50e+15    1.21e+03    2.89e+12
 250  422.26     y    SA    0.453   7.78e+09   6.2e+07   9.29     y   3.51e+15    1.22e+03    2.89e+12
 251  422.26     y    SA    0.455   7.81e+09   6.2e+07   9.29     y   3.53e+15    1.22e+03    2.89e+12
 252  422.26     y    SA    0.457   7.84e+09   6.2e+07   9.29     y   3.54e+15    1.22e+03    2.89e+12
 253  422.26     y    SA    0.458   7.88e+09   6.2e+07   9.30     y   3.55e+15    1.23e+03    2.89e+12
 254  422.26     y    SA     0.46   7.91e+09   6.2e+07   9.30     y   3.57e+15    1.23e+03    2.89e+12
 255  422.26     y    SA    0.462   7.94e+09   6.2e+07   9.30     y   3.58e+15    1.24e+03    2.89e+12
 256  422.26     y    SA    0.464   7.97e+09   6.2e+07   9.30     y   3.60e+15    1.24e+03    2.89e+12
 257  417.80     y    SA    0.466      8e+09   6.2e+07  10.30     y   3.61e+15    1.25e+03    2.89e+12
 258  417.80     y    SA    0.468   8.03e+09   6.2e+07  10.30     y   3.62e+15    1.25e+03    2.89e+12
 259  417.80     y    SA    0.469   8.06e+09   6.2e+07  10.30     y   3.64e+15    1.26e+03    2.89e+12
 260  417.80     y    SA    0.471   8.09e+09   6.2e+07  10.30     y   3.65e+15    1.26e+03    2.89e+12
 261  417.80     y    SA    0.473   8.12e+09   6.2e+07  10.30     y   3.67e+15    1.27e+03    2.89e+12
 262  417.80     y    SA    0.475   8.16e+09   6.2e+07  10.31     y   3.68e+15    1.27e+03    2.89e+12
 263  417.80     y    SA    0.477   8.19e+09   6.2e+07  10.31     y   3.69e+15    1.28e+03    2.89e+12
 264  417.80     y    SA    0.478   8.22e+09   6.2e+07  10.31     y   3.71e+15    1.28e+03    2.89e+12
 265  417.80     y    SA     0.48   8.25e+09   6.2e+07  10.31     y   3.72e+15    1.29e+03    2.89e+12
 266  417.80     y    SA    0.482   8.28e+09   6.2e+07  10.31     y   3.74e+15    1.29e+03    2.89e+12
 267  417.80     y    SA    0.484   8.31e+09   6.2e+07  10.31     y   3.75e+15    1.30e+03    2.89e+12
 268  417.80     y    SA    0.486   8.34e+09   6.2e+07  10.31     y   3.76e+15    1.30e+03    2.89e+12
 269  417.80     y    SA    0.487   8.37e+09   6.2e+07  10.31     y   3.78e+15    1.31e+03    2.89e+12
 270  417.80     y    SA    0.489    8.4e+09   6.2e+07  10.32     y   3.79e+15    1.31e+03    2.89e+12
 271  417.80     y    SA    0.491   8.43e+09   6.2e+07  10.32     y   3.81e+15    1.32e+03    2.89e+12
 272  417.80     y    SA    0.493   8.47e+09   6.2e+07  10.32     y   3.82e+15    1.32e+03    2.89e+12
 273  417.80     y    SA    0.495    8.5e+09   6.2e+07  10.32     y   3.83e+15    1.33e+03    2.89e+12
 274  417.80     y    SA    0.496   8.53e+09   6.2e+07  10.32     y   3.85e+15    1.33e+03    2.89e+12
 275  417.80     y    SA    0.498   8.56e+09   6.2e+07  10.32     y   3.86e+15    1.34e+03    2.89e+12
 276  417.80     y    SA      0.5   8.59e+09   6.2e+07  10.32     y   3.88e+15    1.34e+03    2.89e+12
 277  417.80     y    SA    0.502   8.62e+09   6.2e+07  10.32     y   3.89e+15    1.35e+03    2.89e+12
 278  417.80     y    SA    0.504   8.65e+09   6.2e+07  10.32     y   3.90e+15    1.35e+03    2.89e+12
 279  417.80     y    SA    0.505   8.68e+09   6.2e+07  10.33     y   3.92e+15    1.36e+03    2.89e+12
 280  417.80     y    SA    0.507   8.71e+09   6.2e+07  10.33     y   3.93e+15    1.36e+03    2.89e+12
 281  417.80     y    SA    0.509   8.74e+09   6.2e+07  10.33     y   3.95e+15    1.37e+03    2.89e+12
 282  417.80     y    SA    0.511   8.78e+09   6.2e+07  10.33     y   3.96e+15    1.37e+03    2.89e+12
 283  417.80     y    SA    0.513   8.81e+09   6.2e+07  10.33     y   3.97e+15    1.38e+03    2.89e+12
 284  417.80     y    SA    0.514   8.84e+09   6.2e+07  10.33     y   3.99e+15    1.38e+03    2.89e+12
 285  417.80     y    SA    0.516   8.87e+09   6.2e+07  10.33     y   4.00e+15    1.38e+03    2.89e+12
 286  417.80     y    SA    0.518    8.9e+09   6.2e+07  10.33     y   4.02e+15    1.39e+03    2.89e+12
 287  417.80     y    SA     0.52   8.93e+09   6.2e+07  10.33     y   4.03e+15    1.39e+03    2.89e+12
 288  417.80     y    SA    0.522   8.96e+09   6.2e+07  10.34     y   4.04e+15    1.40e+03    2.89e+12
 289  417.80     y    SA    0.523   8.99e+09   6.2e+07  10.34     y   4.06e+15    1.40e+03    2.89e+12
 290  417.80     y    SA    0.525   9.02e+09   6.2e+07  10.34     y   4.07e+15    1.41e+03    2.89e+12
 291  417.80     y    SA    0.527   9.05e+09   6.2e+07  10.34     y   4.09e+15    1.41e+03    2.89e+12
 292  417.80     y    SA    0.529   9.09e+09   6.2e+07  10.34     y   4.10e+15    1.42e+03    2.89e+12
 293  417.80     y    SA    0.531   9.12e+09   6.2e+07  10.34     y   4.11e+15    1.42e+03    2.89e+12
 294  417.80     y    SA    0.532   9.15e+09   6.2e+07  10.34     y   4.13e+15    1.43e+03    2.89e+12
 295  417.80     y    SA    0.534   9.18e+09   6.2e+07  10.34     y   4.14e+15    1.43e+03    2.89e+12
 296  417.80     y    SA    0.536   9.21e+09   6.2e+07  10.35     y   4.16e+15    1.44e+03    2.89e+12
 297  417.80     y    SA    0.538   9.24e+09   6.2e+07  10.35     y   4.17e+15    1.44e+03    2.89e+12
 298  417.80     y    SA     0.54   9.27e+09   6.2e+07  10.35     y   4.18e+15    1.45e+03    2.89e+12
 299  417.80     y    SA    0.542    9.3e+09   6.2e+07  10.35     y   4.20e+15    1.45e+03    2.89e+12
 300  417.80     y    SA    0.543   9.33e+09   6.2e+07  10.35     y   4.21e+15    1.46e+03    2.89e+12
 301  417.80     y    SA    0.545   9.36e+09   6.2e+07  10.35     y   4.23e+15    1.46e+03    2.89e+12
 302  417.80     y    SA    0.547    9.4e+09   6.2e+07  10.35     y   4.24e+15    1.47e+03    2.89e+12
 303  417.80     y    SA    0.549   9.43e+09   6.2e+07  10.35     y   4.25e+15    1.47e+03    2.89e+12
 304  417.80     y    SA    0.551   9.46e+09   6.2e+07  10.35     y   4.27e+15    1.48e+03    2.89e+12
 305  417.80     y    SA    0.552   9.49e+09   6.2e+07  10.36     y   4.28e+15    1.48e+03    2.89e+12
 306  417.80     y    SA    0.554   9.52e+09   6.2e+07  10.36     y   4.30e+15    1.49e+03    2.89e+12
 307  417.80     y    SA    0.556   9.55e+09   6.2e+07  10.36     y   4.31e+15    1.49e+03    2.89e+12
 308  417.80     y    SA    0.558   9.58e+09   6.2e+07  10.36     y   4.32e+15    1.50e+03    2.89e+12
 309  417.80     y    SA     0.56   9.61e+09   6.2e+07  10.36     y   4.34e+15    1.50e+03    2.89e+12
 310  417.80     y    SA    0.561   9.64e+09   6.2e+07  10.36     y   4.35e+15    1.51e+03    2.89e+12
 311  417.80     y    SA    0.563   9.67e+09   6.2e+07  10.36     y   4.37e+15    1.51e+03    2.89e+12
 312  417.80     y    SA    0.565   9.71e+09   6.2e+07  10.36     y   4.38e+15    1.52e+03    2.89e+12
 313  417.80     y    SA    0.567   9.74e+09   6.2e+07  10.37     y   4.39e+15    1.52e+03    2.89e+12
 314  417.80     y    SA    0.569   9.77e+09   6.2e+07  10.37     y   4.41e+15    1.53e+03    2.89e+12
 315  417.80     y    SA     0.57    9.8e+09   6.2e+07  10.37     y   4.42e+15    1.53e+03    2.89e+12
 316  417.80     y    SA    0.572   9.83e+09   6.2e+07  10.37     y   4.44e+15    1.53e+03    2.89e+12
 317  417.80     y    SA    0.574   9.86e+09   6.2e+07  10.37     y   4.45e+15    1.54e+03    2.89e+12
 318  417.80     y    SA    0.576   9.89e+09   6.2e+07  10.37     y   4.46e+15    1.54e+03    2.89e+12
 319  417.80     y    SA    0.578   9.92e+09   6.2e+07  10.37     y   4.48e+15    1.55e+03    2.89e+12
 320  417.80     y    SA    0.579   9.95e+09   6.2e+07  10.37     y   4.49e+15    1.55e+03    2.89e+12
 321  417.80     y    SA    0.581   9.98e+09   6.2e+07  10.37     y   4.51e+15    1.56e+03    2.89e+12
 322  417.80     y    SA    0.583      1e+10   6.2e+07  10.38     y   4.52e+15    1.56e+03    2.89e+12
 323  417.80     y    SA    0.585      1e+10   6.2e+07  10.38     y   4.53e+15    1.57e+03    2.89e+12
 324  417.80     y    SA    0.587   1.01e+10   6.2e+07  10.38     y   4.55e+15    1.57e+03    2.89e+12
 325  417.80     y    SA    0.588   1.01e+10   6.2e+07  10.38     y   4.56e+15    1.58e+03    2.89e+12
 326  417.80     y    SA     0.59   1.01e+10   6.2e+07  10.38     y   4.58e+15    1.58e+03    2.89e+12
 327  417.80     y    SA    0.592   1.02e+10   6.2e+07  10.38     y   4.59e+15    1.59e+03    2.89e+12
 328  417.80     y    SA    0.594   1.02e+10   6.2e+07  10.38     y   4.60e+15    1.59e+03    2.89e+12
 329  417.80     y    SA    0.596   1.02e+10   6.2e+07  10.38     y   4.62e+15    1.60e+03    2.89e+12
 330  417.80     y    SA    0.597   1.03e+10   6.2e+07  10.38     y   4.63e+15    1.60e+03    2.89e+12
 331  417.80     y    SA    0.599   1.03e+10   6.2e+07  10.39     y   4.65e+15    1.61e+03    2.89e+12
 332  417.80     y    SA    0.601   1.03e+10   6.2e+07  10.39     y   4.66e+15    1.61e+03    2.89e+12
 333  417.80     y    SA    0.603   1.04e+10   6.2e+07  10.39     y   4.67e+15    1.62e+03    2.89e+12
 334  417.80     y    SA    0.605   1.04e+10   6.2e+07  10.39     y   4.69e+15    1.62e+03    2.89e+12
 335  417.80     y    SA    0.606   1.04e+10   6.2e+07  10.39     y   4.70e+15    1.63e+03    2.89e+12
 336  417.80     y    SA    0.608   1.04e+10   6.2e+07  10.39     y   4.72e+15    1.63e+03    2.89e+12
 337  417.80     y    SA     0.61   1.05e+10   6.2e+07  10.39     y   4.73e+15    1.64e+03    2.89e+12
 338  417.80     y    SA    0.612   1.05e+10   6.2e+07  10.39     y   4.74e+15    1.64e+03    2.89e+12
 339  417.80     y    SA    0.614   1.05e+10   6.2e+07  10.40     y   4.76e+15    1.65e+03    2.89e+12
 340  417.80     y    SA    0.616   1.06e+10   6.2e+07  10.40     y   4.77e+15    1.65e+03    2.89e+12
 341  417.80     y    SA    0.617   1.06e+10   6.2e+07  10.40     y   4.79e+15    1.66e+03    2.89e+12
 342  417.80     y    SA    0.619   1.06e+10   6.2e+07  10.40     y   4.80e+15    1.66e+03    2.89e+12
 343  417.80     y    SA    0.621   1.07e+10   6.2e+07  10.40     y   4.81e+15    1.67e+03    2.89e+12
 344  417.80     y    SA    0.623   1.07e+10   6.2e+07  10.40     y   4.83e+15    1.67e+03    2.89e+12
 345  417.80     y    SA    0.625   1.07e+10   6.2e+07  10.40     y   4.84e+15    1.68e+03    2.89e+12
 346  417.80     y    SA    0.626   1.08e+10   6.2e+07  10.40     y   4.86e+15    1.68e+03    2.89e+12
 347  417.80     y    SA    0.628   1.08e+10   6.2e+07  10.40     y   4.87e+15    1.68e+03    2.89e+12
 348  417.80     y    SA     0.63   1.08e+10   6.2e+07  10.41     y   4.88e+15    1.69e+03    2.89e+12
 349  417.80     y    SA    0.632   1.09e+10   6.2e+07  10.41     y   4.90e+15    1.69e+03    2.89e+12
 350  417.80     y    SA    0.634   1.09e+10   6.2e+07  10.41     y   4.91e+15    1.70e+03    2.89e+12
 351  417.80     y    SA    0.635   1.09e+10   6.2e+07  10.41     y   4.93e+15    1.70e+03    2.89e+12
 352  417.80     y    SA    0.637   1.09e+10   6.2e+07  10.41     y   4.94e+15    1.71e+03    2.89e+12
 353  417.80     y    SA    0.639    1.1e+10   6.2e+07  10.41     y   4.95e+15    1.71e+03    2.89e+12
 354  417.80     y    SA    0.641    1.1e+10   6.2e+07  10.41     y   4.97e+15    1.72e+03    2.89e+12
 355  417.80     y    SA    0.643    1.1e+10   6.2e+07  10.41     y   4.98e+15    1.72e+03    2.89e+12
 356  417.80     y    SA    0.644   1.11e+10   6.2e+07  10.42     y   5.00e+15    1.73e+03    2.89e+12
 357  417.80     y    SA    0.646   1.11e+10   6.2e+07  10.42     y   5.01e+15    1.73e+03    2.89e+12
 358  417.80     y    SA    0.648   1.11e+10   6.2e+07  10.42     y   5.02e+15    1.74e+03    2.89e+12
 359  417.80     y    SA     0.65   1.12e+10   6.2e+07  10.42     y   5.04e+15    1.74e+03    2.89e+12
 360  417.80     y    SA    0.652   1.12e+10   6.2e+07  10.42     y   5.05e+15    1.75e+03    2.89e+12
 361  417.80     y    SA    0.653   1.12e+10   6.2e+07  10.42     y   5.07e+15    1.75e+03    2.89e+12
 362  417.80     y    SA    0.655   1.13e+10   6.2e+07  10.42     y   5.08e+15    1.76e+03    2.89e+12
 363  417.80     y    SA    0.657   1.13e+10   6.2e+07  10.42     y   5.09e+15    1.76e+03    2.89e+12
 364  417.80     y    SA    0.659   1.13e+10   6.2e+07  10.42     y   5.11e+15    1.77e+03    2.89e+12
 365  417.80     y    SA    0.661   1.13e+10   6.2e+07  10.43     y   5.12e+15    1.77e+03    2.89e+12
 366  417.80     y    SA    0.662   1.14e+10   6.2e+07  10.43     y   5.14e+15    1.78e+03    2.89e+12
 367  417.80     y    SA    0.664   1.14e+10   6.2e+07  10.43     y   5.15e+15    1.78e+03    2.89e+12
 368  417.80     y    SA    0.666   1.14e+10   6.2e+07  10.43     y   5.16e+15    1.79e+03    2.89e+12
 369  417.80     y    SA    0.668   1.15e+10   6.2e+07  10.43     y   5.18e+15    1.79e+03    2.89e+12
 370  417.80     y    SA     0.67   1.15e+10   6.2e+07  10.43     y   5.19e+15    1.80e+03    2.89e+12
 371  417.80     y    SA    0.671   1.15e+10   6.2e+07  10.43     y   5.21e+15    1.80e+03    2.89e+12
 372  417.80     y    SA    0.673   1.16e+10   6.2e+07  10.43     y   5.22e+15    1.81e+03    2.89e+12
 373  417.80     y    SA    0.675   1.16e+10   6.2e+07  10.43     y   5.23e+15    1.81e+03    2.89e+12
 374  417.80     y    SA    0.677   1.16e+10   6.2e+07  10.44     y   5.25e+15    1.82e+03    2.89e+12
 375  417.80     y    SA    0.679   1.17e+10   6.2e+07  10.44     y   5.26e+15    1.82e+03    2.89e+12
 376  417.80     y    SA    0.681   1.17e+10   6.2e+07  10.44     y   5.28e+15    1.83e+03    2.89e+12
 377  417.80     y    SA    0.682   1.17e+10   6.2e+07  10.44     y   5.29e+15    1.83e+03    2.89e+12
 378  417.80     y    SA    0.684   1.18e+10   6.2e+07  10.44     y   5.30e+15    1.84e+03    2.89e+12
 379  417.80     y    SA    0.686   1.18e+10   6.2e+07  10.44     y   5.32e+15    1.84e+03    2.89e+12
 380  417.80     y    SA    0.688   1.18e+10   6.2e+07  10.44     y   5.33e+15    1.84e+03    2.89e+12
 381  417.80     y    SA     0.69   1.18e+10   6.2e+07  10.44     y   5.35e+15    1.85e+03    2.89e+12
 382  417.80     y    SA    0.691   1.19e+10   6.2e+07  10.45     y   5.36e+15    1.85e+03    2.89e+12
 383  417.80     y    SA    0.693   1.19e+10   6.2e+07  10.45     y   5.37e+15    1.86e+03    2.89e+12
 384  417.80     y    SA    0.695   1.19e+10   6.2e+07  10.45     y   5.39e+15    1.86e+03    2.89e+12
 385  417.80     y    SA    0.697    1.2e+10   6.2e+07  10.45     y   5.40e+15    1.87e+03    2.89e+12
 386  417.80     y    SA    0.699    1.2e+10   6.2e+07  10.45     y   5.42e+15    1.87e+03    2.89e+12
 387  417.80     y    SA      0.7    1.2e+10   6.2e+07  10.45     y   5.43e+15    1.88e+03    2.89e+12
 388  417.80     y    SA    0.702   1.21e+10   6.2e+07  10.45     y   5.44e+15    1.88e+03    2.89e+12
 389  417.80     y    SA    0.704   1.21e+10   6.2e+07  10.45     y   5.46e+15    1.89e+03    2.89e+12
 390  417.80     y    SA    0.706   1.21e+10   6.2e+07  10.45     y   5.47e+15    1.89e+03    2.89e+12
 391  417.80     y    SA    0.708   1.22e+10   6.2e+07  10.46     y   5.49e+15    1.90e+03    2.89e+12
 392  417.80     y    SA    0.709   1.22e+10   6.2e+07  10.46     y   5.50e+15    1.90e+03    2.89e+12
 393  417.80     y    SA    0.711   1.22e+10   6.2e+07  10.46     y   5.51e+15    1.91e+03    2.89e+12
 394  417.80     y    SA    0.713   1.22e+10   6.2e+07  10.46     y   5.53e+15    1.91e+03    2.89e+12
 395  417.80     y    SA    0.715   1.23e+10   6.2e+07  10.46     y   5.54e+15    1.92e+03    2.89e+12
 396  417.80     y    SA    0.717   1.23e+10   6.2e+07  10.46     y   5.56e+15    1.92e+03    2.89e+12
 397  417.80     y    SA    0.718   1.23e+10   6.2e+07  10.46     y   5.57e+15    1.93e+03    2.89e+12
 398  417.80     y    SA     0.72   1.24e+10   6.2e+07  10.46     y   5.58e+15    1.93e+03    2.89e+12
 399  417.80     y    SA    0.722   1.24e+10   6.2e+07  10.47     y   5.60e+15    1.94e+03    2.89e+12
 400  417.80     y    SA    0.724   1.24e+10   6.2e+07  10.47     y   5.61e+15    1.94e+03    2.89e+12
 401  417.80     y    SA    0.726   1.25e+10   6.2e+07  10.47     y   5.63e+15    1.95e+03    2.89e+12
 402  417.80     y    SA    0.727   1.25e+10   6.2e+07  10.47     y   5.64e+15    1.95e+03    2.89e+12
 403  417.80     y    SA    0.729   1.25e+10   6.2e+07  10.47     y   5.65e+15    1.96e+03    2.89e+12
 404  417.80     y    SA    0.731   1.26e+10   6.2e+07  10.47     y   5.67e+15    1.96e+03    2.89e+12
 405  417.80     y    SA    0.733   1.26e+10   6.2e+07  10.47     y   5.68e+15    1.97e+03    2.89e+12
 406  417.80     y    SA    0.735   1.26e+10   6.2e+07  10.47     y   5.70e+15    1.97e+03    2.89e+12
 407  417.80     y    SA    0.736   1.27e+10   6.2e+07  10.47     y   5.71e+15    1.98e+03    2.89e+12
 408  417.80     y    SA    0.738   1.27e+10   6.2e+07  10.48     y   5.72e+15    1.98e+03    2.89e+12
 409  417.80     y    SA     0.74   1.27e+10   6.2e+07  10.48     y   5.74e+15    1.99e+03    2.89e+12
 410  417.80     y    SA    0.742   1.27e+10   6.2e+07  10.48     y   5.75e+15    1.99e+03    2.89e+12
 411  417.80     y    SA    0.744   1.28e+10   6.2e+07  10.48     y   5.76e+15    1.99e+03    2.89e+12
 412  417.80     y    SA    0.745   1.28e+10   6.2e+07  10.48     y   5.78e+15    2.00e+03    2.89e+12
 413  417.80     y    SA    0.747   1.28e+10   6.2e+07  10.48     y   5.79e+15    2.00e+03    2.89e+12
 414  417.80     y    SA    0.749   1.29e+10   6.2e+07  10.48     y   5.81e+15    2.01e+03    2.89e+12
 415  417.80     y    SA    0.751   1.29e+10   6.2e+07  10.48     y   5.82e+15    2.01e+03    2.89e+12
 416  417.80     y    SA    0.753   1.29e+10   6.2e+07  10.48     y   5.83e+15    2.02e+03    2.89e+12
 417  417.80     y    SA    0.755    1.3e+10   6.2e+07  10.49     y   5.85e+15    2.02e+03    2.89e+12
 418  417.80     n    SA    0.756    1.3e+10   6.2e+07  10.49     y   5.86e+15    2.03e+03    2.89e+12
 419  417.80     n    SA    0.758    1.3e+10   6.2e+07  10.49     y   5.88e+15    2.03e+03    2.89e+12
 420  417.80     n    SA     0.76   1.31e+10   6.2e+07  10.49     y   5.89e+15    2.04e+03    2.89e+12
 421  417.80     n    SA    0.762   1.31e+10   6.2e+07  10.49     y   5.90e+15    2.04e+03    2.89e+12
 422  417.80     n    SA    0.764   1.31e+10   6.2e+07  10.49     y   5.92e+15    2.05e+03    2.89e+12
 423  417.80     n    SA    0.765   1.31e+10   6.2e+07  10.49     y   5.93e+15    2.05e+03    2.89e+12
 424  417.80     n    SA    0.767   1.32e+10   6.2e+07  10.49     y   5.95e+15    2.06e+03    2.89e+12
 425  417.80     n    SA    0.769   1.32e+10   6.2e+07  10.50     y   5.96e+15    2.06e+03    2.89e+12
 426  417.80     n    SA    0.771   1.32e+10   6.2e+07  10.50     y   5.97e+15    2.07e+03    2.89e+12
 427  417.80     n    SA    0.773   1.33e+10   6.2e+07  10.50     y   5.99e+15    2.07e+03    2.89e+12
 428  417.80     n    SA    0.774   1.33e+10   6.2e+07  10.50     y   6.00e+15    2.08e+03    2.89e+12
 429  417.80     n    SA    0.776   1.33e+10   6.2e+07  10.50     y   6.02e+15    2.08e+03    2.89e+12
 430  417.80     n    SA    0.778   1.34e+10   6.2e+07  10.50     y   6.03e+15    2.09e+03    2.89e+12
 431  417.80     n    SA     0.78   1.34e+10   6.2e+07  10.50     y   6.04e+15    2.09e+03    2.89e+12
 432  417.80     n    SA    0.782   1.34e+10   6.2e+07  10.50     y   6.06e+15    2.10e+03    2.89e+12
 433  417.80     n    SA    0.783   1.35e+10   6.2e+07  10.50     y   6.07e+15    2.10e+03    2.89e+12
 434  417.80     n    SA    0.785   1.35e+10   6.2e+07  10.51     y   6.09e+15    2.11e+03    2.89e+12
 435  417.80     n    SA    0.787   1.35e+10   6.2e+07  10.51     y   6.10e+15    2.11e+03    2.89e+12
 436  417.80     n    SA    0.789   1.36e+10   6.2e+07  10.51     y   6.11e+15    2.12e+03    2.89e+12
 437  417.80     n    SA    0.791   1.36e+10   6.2e+07  10.51     y   6.13e+15    2.12e+03    2.89e+12
 438  417.80     n    SA    0.792   1.36e+10   6.2e+07  10.51     y   6.14e+15    2.13e+03    2.89e+12
 439  417.80     n    SA    0.794   1.36e+10   6.2e+07  10.51     y   6.16e+15    2.13e+03    2.89e+12
 440  417.80     n    SA    0.796   1.37e+10   6.2e+07  10.51     y   6.17e+15    2.14e+03    2.89e+12
 441  417.80     n    SA    0.798   1.37e+10   6.2e+07  10.51     y   6.18e+15    2.14e+03    2.89e+12
 442  417.80     n    SA      0.8   1.37e+10   6.2e+07  10.52     y   6.20e+15    2.14e+03    2.89e+12
 443  417.80     n    SA    0.801   1.38e+10   6.2e+07  10.52     y   6.21e+15    2.15e+03    2.89e+12
 444  417.80     n    SA    0.803   1.38e+10   6.2e+07  10.52     y   6.23e+15    2.15e+03    2.89e+12
 445  417.80     n    SA    0.805   1.38e+10   6.2e+07  10.52     y   6.24e+15    2.16e+03    2.89e+12
 446  417.80     n    SA    0.807   1.39e+10   6.2e+07  10.52     y   6.25e+15    2.16e+03    2.89e+12
 447  417.80     n    SA    0.809   1.39e+10   6.2e+07  10.52     y   6.27e+15    2.17e+03    2.89e+12
 448  417.80     n    SA     0.81   1.39e+10   6.2e+07  10.52     y   6.28e+15    2.17e+03    2.89e+12
 449  417.80     n    SA    0.812    1.4e+10   6.2e+07  10.52     y   6.30e+15    2.18e+03    2.89e+12
 450  417.80     n    SA    0.814    1.4e+10   6.2e+07  10.52     y   6.31e+15    2.18e+03    2.89e+12
 451  417.80     n    SA    0.816    1.4e+10   6.2e+07  10.53     y   6.32e+15    2.19e+03    2.89e+12
 452  417.80     n    SA    0.818    1.4e+10   6.2e+07  10.53     y   6.34e+15    2.19e+03    2.89e+12
 453  417.80     n    SA    0.819   1.41e+10   6.2e+07  10.53     y   6.35e+15    2.20e+03    2.89e+12
 454  417.80     n    SA    0.821   1.41e+10   6.2e+07  10.53     y   6.37e+15    2.20e+03    2.89e+12
 455  417.80     n    SA    0.823   1.41e+10   6.2e+07  10.53     y   6.38e+15    2.21e+03    2.89e+12
 456  417.80     n    SA    0.825   1.42e+10   6.2e+07  10.53     y   6.39e+15    2.21e+03    2.89e+12
 457  417.80     n    SA    0.827   1.42e+10   6.2e+07  10.53     y   6.41e+15    2.22e+03    2.89e+12
 458  417.80     n    SA    0.829   1.42e+10   6.2e+07  10.53     y   6.42e+15    2.22e+03    2.89e+12
 459  417.80     n    SA     0.83   1.43e+10   6.2e+07  10.53     y   6.44e+15    2.23e+03    2.89e+12
 460  417.80     n    SA    0.832   1.43e+10   6.2e+07  10.54     y   6.45e+15    2.23e+03    2.89e+12
 461  417.80     n    SA    0.834   1.43e+10   6.2e+07  10.54     y   6.46e+15    2.24e+03    2.89e+12

  best BW (feasible & fits) at n=417: 5.849e+15 B/s, 209.0x fewer SAs, 209.00x the n=1 baseline BW (SA-bound)

########## harmonic thermal-budget sweep :: nvm_100Mb ##########
  thermal-limited BW [B/s]  (P_max = power-density budget, W/mm^2; * = best n in column)
   n  bind           1          11         110        1100       11000      110000       unlim
----------------------------------------------------------------------------------------------
   1    SA   2.89e+12    2.80e+13    2.80e+13    2.80e+13    2.80e+13    2.80e+13    2.80e+13 
   2    SA   2.89e+12    2.89e+13    4.20e+13    4.20e+13    4.20e+13    4.20e+13    4.20e+13 
   3    SA   2.89e+12    2.89e+13    5.60e+13    5.60e+13    5.60e+13    5.60e+13    5.60e+13 
   4    SA   2.89e+12    2.89e+13    7.00e+13    7.00e+13    7.00e+13    7.00e+13    7.00e+13 
   5    SA   2.89e+12    2.89e+13    8.40e+13    8.40e+13    8.40e+13    8.40e+13    8.40e+13 
   6    SA   2.89e+12    2.89e+13    9.79e+13    9.79e+13    9.79e+13    9.79e+13    9.79e+13 
   7    SA   2.89e+12    2.89e+13    1.12e+14    1.12e+14    1.12e+14    1.12e+14    1.12e+14 
   8    SA   2.89e+12    2.89e+13    1.26e+14    1.26e+14    1.26e+14    1.26e+14    1.26e+14 
   9    SA   2.89e+12    2.89e+13    1.40e+14    1.40e+14    1.40e+14    1.40e+14    1.40e+14 
  10    SA   2.89e+12    2.89e+13    1.54e+14    1.54e+14    1.54e+14    1.54e+14    1.54e+14 
  11    SA   2.89e+12    2.89e+13    1.68e+14    1.68e+14    1.68e+14    1.68e+14    1.68e+14 
  12    SA   2.89e+12    2.89e+13    1.82e+14    1.82e+14    1.82e+14    1.82e+14    1.82e+14 
  13    SA   2.89e+12    2.89e+13    1.96e+14    1.96e+14    1.96e+14    1.96e+14    1.96e+14 
  14    SA   2.89e+12    2.89e+13    2.10e+14    2.10e+14    2.10e+14    2.10e+14    2.10e+14 
  15    SA   2.89e+12    2.89e+13    2.24e+14    2.24e+14    2.24e+14    2.24e+14    2.24e+14 
  16    SA   2.89e+12    2.89e+13    2.38e+14    2.38e+14    2.38e+14    2.38e+14    2.38e+14 
  17    SA   2.89e+12    2.89e+13    2.52e+14    2.52e+14    2.52e+14    2.52e+14    2.52e+14 
  18    SA   2.89e+12    2.89e+13    2.66e+14    2.66e+14    2.66e+14    2.66e+14    2.66e+14 
